active,empno,company,active_pos,posno,poscompany,fname,mi,lname,annual,salary,unitrate,normunit,payfreq,posstart,posstop,fulltimeequiv,lsalary,nextpay,nextincr,jobcode,jobtitle,lasthire,trans_date,reason,userdef1,userdef2,userdef3,userdef4,userdef5,userdef6,ann_cost,level1,level2,level3,level4,level5,lastact,hrmsreas,hrmsdate,race,sex,education
"T","      150","ZSI","A","029","ZSI","Paul","C","Chu",21450.00000,825.00000,10.31250,80.00000,"B",06/11/1997,12/31/2099,1.00000,825.00000,10/31/1993,0.000,"LINESUP","Line Supervisor",10/29/1988,06/11/1997,"NEW","","","","","","",21450.00,"OPERATIONS","MAN","HQ","","",01/04/2000,"RESIGN",10/31/1992,"","",""
"L","      143","ZSI","A","014","ZSI","Susan","E","Johnson",20023.52000,385.06769,9.62669,40.00000,"W",02/19/1995,12/31/2099,1.00000,365.52000,06/01/1995,0.000,"ASSEMB2","Assembler II",03/18/1988,02/19/1995,"NEW","","","","","","",20023.52,"OPERATIONS","MAN","HQ","","",01/04/2000,"FMLA",08/15/1996,"","",""
"A","      142","ZSI","A","183","ZSI","Melisa","S","Startwirth",19440.00000,373.84615,9.34615,40.00000,"W",05/10/1994,12/31/2099,1.00000,329.60000,04/15/1995,0.000,"RECPT1","Receptionist I",03/30/1988,05/10/1994,"NEW","","","","","","",19440.00,"OTHER","OTHER","HQ","","",01/04/2000,"ADJUST",04/15/1996,"","",""
"A","      130","ZSI","A","183","ZSI","Christine","E","Attwater",19760.00000,380.00000,9.50000,40.00000,"W",02/15/1997,12/31/2099,1.00000,280.00000,07/01/1995,0.000,"SECY3","Secretary III",07/12/1988,02/15/1997,"NEW","","","","","","",19760.00,"SALES/MKTG","SALES","NYC","","",01/04/2000,"MERIT",07/01/1994,"","",""
"A","      123","ZSI","A","126","ZSI","Susan","S","Stevens",21379.01000,822.26960,10.27837,80.00000,"B",04/04/1993,12/31/2099,1.00000,390.00000,06/01/1995,0.000,"RECPT1","Receptionist I",02/23/1988,04/04/1993,"NEW","","","","","","",21379.01,"CORP","ADMIN","HQ","","",01/04/2000,"MERIT",04/01/1996,"","",""
"A","      141","ZSI","A","149","ZSI","Russell","R","Rogers",21140.00000,813.07692,10.16346,80.00000,"B",08/30/1991,12/31/2099,1.00000,390.00000,03/01/1995,0.000,"GARDENER","Gardener",11/06/1989,08/30/1991,"NEW","","","","","","",21140.00,"OTHER","OTHER","HQ","","",01/04/2000,"MERIT",03/01/1996,"","",""
"T","      149","ZSI","A","184","ZSI","Donna","N","Christian",19005.95000,730.99808,9.13748,40.00000,"W",05/31/1993,12/31/2099,1.00000,349.00000,06/15/1995,0.000,"OPER1","Machine Oper I",07/31/1990,05/31/1993,"NEW","","","","","","",19005.95,"OPERATIONS","MAN","HQ","","",01/04/2000,"DEC-HRS",06/15/1997,"","",""
"A","      113","ZSI","A","184","ZSI","Richard","N","Rodriguez",23400.00000,450.00000,11.25000,40.00000,"W",01/21/1995,12/31/2099,1.00000,423.00000,06/01/1995,0.000,"QA","QA Inspector",07/28/1989,01/21/1995,"NEW","","","","","","",23400.00,"CORP","QA","HQ","","",01/04/2000,"MERIT",06/01/1996,"","",""
"A","      139","ZSI","A","149","ZSI","Nancy","S","Smith",25660.00000,493.46160,12.33654,40.00000,"W",09/03/1994,12/31/2099,1.00000,382.32900,06/15/1995,0.000,"OPER1","Machine Oper I",08/06/1990,09/03/1994,"TRANS","","","","","","",25660.00,"OPERATIONS","MAN","HQ","","",01/04/2000,"ADJUST",06/15/1996,"","",""
"A","      135","ZSI","A","029","ZSI","Albert","M","AlbrightA",68900.00000,2650.00000,33.12500,80.00000,"B",10/27/2004,12/31/2099,1.00000,1174.27200,01/15/1995,0.000,"HDWMGR","Hardware Manager",10/30/1988,10/27/2004,"TRANS","","","","","","",68900.00,"ENGINEERING","HARDWARE","HQ","","",10/27/2004,"MERIT",09/01/1995,"","",""
